,TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
172503,172503,2018-04-19 00:01:36,2291,4601,28.12,1555296,18,0,0
172504,172504,2018-04-19 00:01:39,340,8494,12.25,1555299,18,0,0
172505,172505,2018-04-19 00:02:05,4926,8606,147.33,1555325,18,0,0
172506,172506,2018-04-19 00:03:30,1252,8924,75.56,1555410,18,0,0
172507,172507,2018-04-19 00:04:13,2543,6701,3.17,1555453,18,0,0
172508,172508,2018-04-19 00:04:40,3029,5880,42.69,1555480,18,0,0
172509,172509,2018-04-19 00:04:53,3630,2554,73.74,1555493,18,0,0
172511,172511,2018-04-19 00:08:46,3708,3175,53.93,1555726,18,0,0
172510,172510,2018-04-19 00:08:46,2708,5799,48.72,1555726,18,0,0
172512,172512,2018-04-19 00:11:32,69,8415,53.3,1555892,18,0,0
172513,172513,2018-04-19 00:11:48,671,7983,45.95,1555908,18,0,0
172514,172514,2018-04-19 00:14:35,2317,4279,5.39,1556075,18,0,0
172515,172515,2018-04-19 00:16:42,336,8824,24.47,1556202,18,0,0
172516,172516,2018-04-19 00:17:07,1777,2386,16.73,1556227,18,0,0
172517,172517,2018-04-19 00:17:51,277,6748,8.54,1556271,18,0,0
172518,172518,2018-04-19 00:18:20,1432,8758,134.99,1556300,18,0,0
172519,172519,2018-04-19 00:18:25,65,4850,5.88,1556305,18,0,0
172520,172520,2018-04-19 00:18:37,2986,6699,21.87,1556317,18,0,0
172521,172521,2018-04-19 00:18:40,3444,5903,127.63,1556320,18,0,0
172522,172522,2018-04-19 00:18:40,605,6406,61.87,1556320,18,0,0
172523,172523,2018-04-19 00:18:55,3970,598,20.56,1556335,18,0,0
172524,172524,2018-04-19 00:20:41,1447,3176,92.44,1556441,18,0,0
172525,172525,2018-04-19 00:21:20,988,3900,38.66,1556480,18,0,0
172526,172526,2018-04-19 00:22:36,2495,8116,62.03,1556556,18,0,0
172527,172527,2018-04-19 00:25:26,366,1759,1.48,1556726,18,0,0
172528,172528,2018-04-19 00:27:43,2645,2604,29.08,1556863,18,0,0
172529,172529,2018-04-19 00:27:45,3968,9011,13.18,1556865,18,0,0
172530,172530,2018-04-19 00:30:36,1099,216,1.08,1557036,18,0,0
172531,172531,2018-04-19 00:31:17,1399,3413,20.16,1557077,18,0,0
172532,172532,2018-04-19 00:31:47,2136,9859,58.45,1557107,18,0,0
172533,172533,2018-04-19 00:32:05,1651,3784,44.57,1557125,18,0,0
172534,172534,2018-04-19 00:32:06,902,9594,102.34,1557126,18,0,0
172535,172535,2018-04-19 00:34:09,4735,575,35.6,1557249,18,0,0
172536,172536,2018-04-19 00:34:22,3172,3206,26.65,1557262,18,0,0
172537,172537,2018-04-19 00:35:04,3104,2995,7.23,1557304,18,0,0
172538,172538,2018-04-19 00:35:34,2610,3461,55.35,1557334,18,0,0
172539,172539,2018-04-19 00:35:55,1075,9494,3.02,1557355,18,0,0
172540,172540,2018-04-19 00:36:00,2204,8915,117.74,1557360,18,0,0
172541,172541,2018-04-19 00:36:51,4372,7772,2.18,1557411,18,0,0
